Time (Sec.),Cold (Volts),Hot (Volts),Total (Volts),T1 (Deg C),T2 (Deg C),T4 (Deg C),T5 (Deg C)
974,2.82,3.08,2.92,17.99,46.69,39.44,32.55
976,2.82,2.82,2.65,18.17,46.33,40.71,33.45
978,2.77,3,2.76,18.55,46.15,40.35,33.64
980,2.85,2.97,2.91,17.99,46.51,40.35,33.64
982,2.83,3.04,2.89,18.36,46.33,39.08,34.18
984,2.81,2.92,2.91,17.62,46.69,40.71,33.45
986,2.79,3.03,2.82,17.99,46.51,39.26,33.27
988,2.82,3,2.9,18.36,46.33,38.53,33.09
990,2.83,3.03,2.91,17.62,46.69,39.62,32.73
992,2.83,2.99,2.94,17.8,46.69,40.16,32.73
994,2.82,2.85,2.99,17.99,46.69,40.16,32.73
996,2.78,3.03,3,17.8,46.69,39.8,32.73
998,2.83,3.03,2.88,17.8,46.51,39.44,32.55
1000,2.85,3.04,2.93,17.99,46.69,38.53,32.18
1002,2.83,2.86,2.68,17.8,46.69,39.44,32.18
1004,2.86,2.97,2.86,18.17,46.51,39.8,32.18
1006,2.83,2.93,2.94,17.99,46.69,38.71,31.82
1008,2.83,3.07,2.9,18.55,46.15,39.98,32.91
1010,2.84,3.05,2.99,18.17,46.51,38.35,32.37
1012,2.83,3.05,2.84,17.99,46.69,40.53,32
1014,2.83,2.96,2.91,18.55,46.33,39.08,32.91
1016,2.83,3.03,2.86,17.99,46.51,38.53,32
1018,2.79,3.02,2.93,18.55,46.15,37.63,33.45
1020,2.83,3.05,2.79,18.55,46.33,39.44,32.91
1022,2.81,2.93,2.35,17.99,46.51,39.8,32.37
1024,2.79,2.93,2.9,18.73,46.15,39.44,33.45
1026,2.77,2.9,2.78,18.55,46.33,40.71,32.73
1028,2.76,2.99,2.71,18.36,46.33,39.98,33.09
1030,2.78,3,2.82,18.55,46.15,39.8,32.91
1032,2.8,3.01,2.88,18.55,46.15,39.62,32.55
1034,2.76,3,2.89,18.36,46.33,40.35,33.09
1036,2.79,2.97,2.84,18.55,46.33,39.62,32.91
1038,2.82,2.95,2.84,17.8,46.69,39.62,32.73
1040,2.79,2.99,2.81,18.36,46.51,40.16,32.91
1042,2.8,2.93,2.85,18.36,46.33,40.35,32.91
1044,2.8,3,2.89,17.8,46.69,39.98,32.37
1046,2.81,2.99,2.9,18.36,46.51,41.43,32.73
1048,2.78,2.93,2.82,17.8,46.69,41.07,32.18
1050,2.81,3,2.79,17.8,46.69,39.62,32.37
1052,2.85,3.02,2.82,18.17,46.51,38.89,31.82
1054,2.83,3.02,2.92,17.8,46.69,39.26,32.37
1056,2.81,3.01,2.95,17.8,46.69,40.35,32.55
1058,2.78,2.89,2.89,17.8,46.69,39.62,32.18
1060,2.78,2.97,2.87,17.8,46.69,38.53,32.73
1062,2.75,2.95,2.84,17.99,46.51,40.53,32.37
1064,2.77,2.91,2.96,17.8,46.69,38.71,32.73
1066,2.77,2.95,2.83,17.8,46.69,39.8,32.91
1068,2.74,2.96,2.78,17.99,46.69,39.8,32.18
1070,2.74,2.97,2.76,17.62,46.69,38.89,32.73
1072,2.77,3.02,2.86,18.36,46.33,39.08,32.73
1074,2.77,2.97,2.92,17.99,46.51,39.26,32.91
1076,2.77,3.01,2.88,17.99,46.69,40.71,32.55
1078,2.76,3,2.95,18.36,46.33,40.71,32.91
1080,2.72,2.86,2.82,17.99,46.69,39.08,32.91
1082,2.74,2.93,2.88,18.55,46.15,38.89,32.73
1084,2.72,2.92,2.95,18.36,46.51,40.35,32.55
1086,2.72,2.95,2.89,17.99,46.69,39.44,32.73
1088,2.74,2.97,2.7,18.55,46.15,39.8,32.73
1090,2.68,2.97,2.67,18.17,46.51,39.44,32.55
1092,2.67,2.95,2.75,18.36,46.33,38.71,32.91
1094,2.66,2.94,2.82,18.55,46.15,40.53,32.73
1096,2.66,2.92,2.86,18.17,46.51,39.98,32.55
1098,2.68,2.96,2.88,18.36,46.33,39.8,32.91
1100,2.69,2.81,2.84,18.73,46.15,39.8,32.55
1102,2.7,2.95,2.91,18.17,46.33,39.8,33.27
1104,2.74,3.03,2.97,18.36,46.33,39.98,33.09
1106,2.77,2.98,2.89,18.55,46.15,40.89,32.91
1108,2.77,2.93,2.85,18.17,46.51,39.8,33.45
1110,2.8,2.99,2.91,18.36,46.33,39.8,33.27
1112,2.74,2.91,2.93,17.62,46.69,40.16,33.27
1114,2.75,2.89,2.97,17.99,46.51,38.71,33.64
1116,2.75,2.94,2.68,18.17,46.33,39.26,32.91
1118,2.74,3,2.83,17.62,46.69,40.71,33.09
1120,2.78,3.02,2.81,17.99,46.69,40.71,33.45
1122,2.74,2.96,2.86,17.8,46.69,39.98,32.18
1124,2.79,3,2.69,17.62,46.69,39.44,32.37
1126,2.8,2.97,2.89,18.36,46.51,39.98,32
1128,2.78,2.85,2.78,17.99,46.69,38.71,32
1130,2.76,3.05,2.9,17.99,46.51,39.26,32
1132,2.79,3.04,2.86,18.55,46.15,39.08,33.09
1134,2.79,2.96,2.98,18.55,46.15,39.8,33.09
1136,2.77,2.98,2.89,17.8,46.69,40.35,33.27
1138,2.76,2.94,2.78,18.17,46.51,40.35,33.45
1140,2.76,2.84,2.79,18.17,46.33,40.53,33.09
1142,2.75,2.91,2.81,17.8,46.69,39.98,33.09
1144,2.74,2.9,2.87,17.62,46.69,40.53,33.27
1146,2.79,2.82,2.85,18.55,46.15,40.53,33.27
1148,2.79,2.98,2.58,18.36,46.33,40.53,33.45
1150,2.78,2.94,2.84,18.17,46.51,39.98,33.27
1152,2.8,2.99,2.84,18.36,46.15,40.53,33.09
1154,2.82,2.98,2.83,18.55,46.15,39.8,33.09
1156,2.76,2.86,2.84,18.17,46.51,40.53,32.55
1158,2.76,2.96,2.75,18.17,46.33,39.26,32.73
1160,2.77,2.93,2.88,18.17,46.15,39.62,32.91
1162,2.78,2.91,2.57,17.62,46.69,39.8,33.09
1164,2.8,3.02,2.89,17.8,46.69,39.08,33.09
1166,2.77,3.01,2.89,17.99,46.51,39.98,33.45
1168,2.8,2.99,2.78,17.99,46.51,39.44,33.27
1170,2.8,2.99,2.93,17.62,46.69,40.16,33.45
1172,2.81,3.02,2.89,18.55,46.15,39.26,33.09
1174,2.79,3,2.81,18.17,46.33,39.8,32.91
1176,2.78,3,2.81,18.36,46.15,40.16,32.73
1178,2.79,2.88,2.82,18.55,46.15,39.44,32.73
1180,2.8,2.94,2.88,18.73,46.69,39.98,33.45
1182,2.8,2.98,1.81,17.99,46.33,40.35,33.64
1184,2.82,3.04,2.92,18.36,46.33,39.08,33.82
1186,2.78,3.01,2.86,17.8,46.69,39.26,32.73
1188,2.79,2.98,2.84,17.62,46.69,39.08,32.55
1190,2.76,2.95,2.72,17.99,46.51,38.17,32.55
1192,2.78,2.98,2.73,17.99,46.51,40.16,32.73
1194,2.79,2.99,2.91,17.99,46.69,39.44,33.09
1196,2.85,3.03,2.97,18.36,46.15,39.8,32.91
1198,2.82,2.97,2.76,18.17,46.51,40.53,32.55
1200,2.8,2.79,2.85,18.36,46.15,39.26,33.09
1202,2.75,3,2.67,18.55,46.15,39.44,33.45
1204,2.81,3.01,2.56,18.55,46.15,39.26,33.27
1206,2.76,2.96,2.77,18.36,46.33,39.8,32.91
1208,2.75,2.91,2.84,18.55,46.15,40.71,32.91
1210,2.61,2.86,2.73,17.62,46.69,40.16,32.55
1212,2.61,2.8,2.56,18.17,46.51,38.35,33.27
1214,2.62,2.79,2.62,18.36,46.33,40.35,33.45
1216,2.68,2.78,2.62,17.62,46.69,39.98,32.37
1218,2.67,2.89,2.7,17.8,46.69,39.62,32.73
1220,2.78,3.01,2.94,17.99,46.51,39.98,32
1222,2.8,3.04,2.98,17.8,46.69,38.17,32.73
1224,2.77,2.94,2.93,17.62,46.69,39.26,33.27
1226,2.76,2.89,2.83,18.55,46.15,39.8,32.55
1228,2.79,2.93,2.69,18.17,46.51,39.44,32.37
1230,2.78,2.88,2.81,18.36,46.15,38.53,33.27
1232,2.77,2.96,2.7,18.55,46.15,39.8,33.27
1234,2.74,2.94,2.86,18.55,46.33,40.35,33.45
1236,2.76,2.87,2.82,18.36,46.15,40.16,33.27
1238,2.74,2.93,2.83,18.36,46.15,41.07,32.91
1240,2.76,2.96,2.81,17.8,46.51,41.25,32.73
1242,2.79,2.93,2.92,18.17,46.33,40.35,32.91
1244,2.83,3,2.79,18.36,46.51,39.44,33.09
1246,2.82,2.91,2.91,17.62,46.69,40.16,32.91
1248,2.82,3.05,2.91,17.8,46.51,40.35,33.27
1250,2.8,3.01,2.9,17.99,46.51,40.53,31.82
1252,2.77,2.97,2.93,17.8,46.69,40.35,32.18
1254,2.78,2.85,2.79,18.55,45.97,39.62,33.45
1256,2.76,2.92,2.8,18.36,46.33,38.71,33.45
1258,2.74,2.87,2.82,17.99,46.51,39.08,32.73
1260,2.74,2.95,2.75,18.55,46.15,39.98,32.73
1262,2.8,2.97,2.9,18.73,46.15,39.8,32.73
1264,2.76,2.89,2.93,18.17,46.33,40.71,33.64
1266,2.81,2.97,2.84,18.55,46.15,38.71,33.82
1268,2.83,3,2.89,18.55,46.15,39.26,32.91
1270,2.78,3.01,2.9,18.17,46.51,39.62,33.09
1272,2.79,2.86,2.91,18.17,46.33,38.53,33.45
1274,2.81,2.99,2.85,17.8,46.69,39.62,32.91
1276,2.76,3,2.85,17.8,46.69,39.98,32.37
1278,2.81,2.91,2.79,18.17,46.51,41.07,32.73
1280,2.82,2.97,2.85,17.8,46.69,40.35,33.09
1282,2.82,3.02,2.94,17.8,46.69,39.8,33.27
1284,2.79,3.01,2.91,18.36,46.33,39.44,32.18
1286,2.77,3.05,2.87,17.8,46.51,39.44,32
1288,2.8,3.04,2.92,17.8,46.69,39.8,33.64
1290,2.87,3.04,2.82,18.36,46.15,39.08,33.45
1292,2.83,3.01,2.9,18.17,46.51,41.07,32.91
1294,2.83,3.07,2.67,18.55,46.15,40.71,33.09
1296,2.81,3.01,2.89,18.55,46.15,39.44,32.91
1298,2.8,2.98,2.91,18.17,46.51,38.35,33.64
1300,2.82,3.04,2.74,18.55,46.15,40.71,33.64
1302,2.82,3.01,2.81,18.55,46.15,39.98,32.91
1304,2.83,2.97,2.71,18.17,46.33,40.89,32.91
1306,2.84,3,2.92,18.55,46.15,39.98,33.45
1308,2.81,3.04,2.91,17.8,46.69,40.16,32.91
1310,2.83,3.04,2.99,17.8,46.51,39.98,32.91
1312,2.83,3.04,2.95,18.36,46.33,39.08,32.73
1314,2.87,3.04,2.92,17.99,46.51,40.53,32.73
1316,2.84,3.02,2.87,17.8,46.69,40.53,32.91
1318,2.84,3.02,2.92,18.17,46.33,39.62,32.91
1320,2.83,3.06,2.8,17.99,46.51,39.62,32.37
1322,2.83,3.01,2.88,17.62,46.51,39.08,32.18
1324,2.79,2.99,2.88,18.55,45.97,39.26,33.09
1326,2.79,2.91,2.99,18.17,46.33,39.98,33.27
1328,2.78,2.91,2.91,18.36,46.15,40.35,33.45
1330,2.77,2.89,2.85,18.55,45.97,37.99,32.91
1332,2.77,2.95,2.76,18.55,46.15,39.62,32
1334,2.81,2.95,2.98,18.36,46.15,40.35,33.45
1336,2.82,3.01,2.8,18.36,45.97,39.8,33.64
1338,2.81,2.99,2.85,17.8,46.51,40.16,32.91
1340,2.75,2.99,3,18.36,46.15,40.53,32.55
1342,2.84,2.97,2.7,18.55,46.15,39.8,32.73
1344,2.8,3,2.94,17.8,46.51,40.16,33.27
1346,2.83,2.99,2.92,18.17,46.33,40.35,33.45
1348,2.84,2.94,2.91,17.8,46.51,40.16,32
1350,2.85,3.03,2.75,17.43,46.51,40.71,32.73
1352,2.81,3.06,2.96,17.99,46.33,38.71,33.09
1354,2.85,3.07,2.97,17.8,46.51,38.71,32.73
1356,2.81,2.95,2.86,17.62,46.51,39.62,32.73
1358,2.81,2.96,2.63,18.17,46.33,39.08,32.91
1360,2.79,2.97,2.85,17.99,46.51,40.16,33.09
1362,2.79,3.01,2.92,17.8,45.97,39.62,33.09
1364,2.79,3.01,2.89,18.36,46.15,38.89,32.18
1366,2.8,3.01,2.87,17.99,46.33,39.44,32.18
1368,2.8,2.97,2.83,18.55,45.97,39.62,33.64
1370,2.81,3.02,2.87,18.36,45.97,39.26,33.09
1372,2.78,2.99,2.86,18.17,46.15,38.89,32.18
1374,2.8,3.01,2.81,18.36,45.97,39.08,33.09
1376,2.79,2.98,2.89,18.36,45.97,38.35,33.64
1378,2.79,2.97,2.94,17.99,46.33,38.89,33.09
1380,2.8,2.93,2.95,18.17,46.15,39.62,32.91
1382,2.79,2.96,2.89,17.62,46.51,39.26,32.73
1384,2.78,2.97,2.93,17.8,46.33,39.8,33.09
1386,2.8,3.06,2.91,18.36,46.15,39.62,33.45
1388,2.81,2.97,2.66,17.8,46.51,39.8,32.18
1390,2.83,3.01,2.83,17.62,46.51,40.35,32.37
1392,2.8,2.99,2.76,17.99,46.33,39.08,33.27
1394,2.79,3,3.09,17.8,46.33,40.53,33.09
1396,2.79,3,2.81,17.8,46.51,39.8,32.37
1398,2.82,3.04,2.92,17.99,46.15,39.44,32.18
1400,2.8,3.03,2.66,17.99,46.33,39.8,32.73
1402,2.85,3.01,2.8,18.55,45.97,40.16,33.45
1404,2.82,3.04,2.9,18.36,46.15,39.26,32.37
1406,2.78,2.84,3.05,17.99,46.33,39.62,32.18
1408,2.76,2.88,2.81,18.55,45.97,40.16,33.64
1410,2.77,2.95,2.85,18.36,45.97,39.26,33.27
1412,2.74,2.89,2.67,18.36,45.97,39.44,32.55
1414,2.75,2.83,2.86,18.36,45.97,39.62,32.91
1416,2.74,2.92,2.76,18.36,45.97,41.07,33.27
1418,2.76,2.87,2.81,18.36,45.97,39.98,32.91
1420,2.77,2.93,2.81,18.17,45.97,39.44,32.37
1422,2.74,2.95,2.71,17.62,46.33,39.8,33.09
1424,2.76,2.86,2.74,18.17,46.15,40.53,33.82
1426,2.75,2.92,2.75,17.62,46.33,40.16,31.82
1428,2.75,2.84,2.87,17.62,46.33,39.98,32.91
1430,2.75,2.92,2.75,17.99,46.15,40.16,33.09
1432,2.71,2.81,2.25,17.8,46.33,39.8,31.82
1434,2.77,2.85,2.81,17.62,46.33,40.71,32.55
1436,2.77,2.96,2.91,18.17,45.97,39.44,33.09
1438,2.79,2.84,2.86,17.8,46.33,39.62,32.18
1440,2.81,2.97,2.83,17.8,46.33,39.44,32.18
1442,2.82,3.02,2.73,18.36,45.97,39.44,33.09
1444,2.8,2.79,2.86,17.99,46.15,39.62,32.55
1446,2.79,3,2.68,18.36,45.79,39.8,33.64
1448,2.78,2.97,2.74,18.55,45.97,38.53,33.09
1450,2.74,2.99,2.93,18.17,46.15,39.44,32.37
1452,2.75,2.91,2.74,18.55,45.97,39.44,33.64
1454,2.77,2.92,2.75,18.55,45.79,39.8,33.45
1456,2.8,2.99,3.03,18.36,45.97,39.08,32.55
1458,2.76,2.95,2.86,18.55,45.79,38.71,33.45
1460,2.74,2.96,2.92,18.73,45.79,39.26,33.09
1462,2.73,2.89,2.87,18.36,45.97,39.44,32.91
1464,2.73,2.58,2.79,18.55,45.79,39.08,33.45
1466,2.74,2.94,2.83,17.99,46.33,39.26,32.55
1468,2.79,3,2.69,18.36,45.97,39.08,33.45
1470,2.81,2.97,2.82,18.55,45.97,39.26,31.82
1472,2.79,2.73,2.88,17.8,46.15,39.8,33.09
1474,2.78,2.87,2.81,18.17,45.97,39.8,33.27
1476,2.76,2.83,2.8,17.8,46.33,40.16,32.37
1478,2.78,2.97,2.92,17.8,46.33,39.44,33.27
1480,2.8,2.96,2.73,17.99,46.15,39.8,32
1482,2.76,2.91,2.87,17.99,46.15,39.44,33.09
1484,2.75,2.98,2.69,17.8,46.33,39.44,32
1486,2.76,2.92,2.82,18.36,45.97,39.8,33.27
1488,2.74,2.92,2.79,18.17,46.15,39.8,32.18
1490,2.74,2.92,2.74,18.73,45.79,38.35,33.64
1492,2.73,2.95,2.83,18.73,45.79,39.26,32.55
1494,2.75,2.94,2.81,18.17,45.97,39.62,32.73
1496,2.76,2.96,2.73,18.55,45.79,39.62,32.91
1498,2.72,2.95,2.7,18.55,45.79,38.89,33.09
1500,2.73,2.98,2.82,18.17,45.97,38.53,32.55
1502,2.77,2.97,2.82,18.36,45.79,39.08,33.27
1504,2.78,2.97,2.81,18.55,45.79,40.71,33.27
1506,2.82,2.98,2.91,17.99,45.79,40.35,33.09
1508,2.8,2.88,2.84,18.36,45.97,40.53,33.09
1510,2.83,3,2.84,17.62,46.15,39.08,33.09
1512,2.8,2.94,2.93,17.8,46.15,39.98,32.55
1514,2.83,3,3.01,18.17,45.97,38.53,32.91
1516,2.81,2.94,2.89,17.62,46.33,40.35,32.18
1518,2.8,2.95,2.89,17.8,46.15,39.62,33.27
1520,2.76,2.97,2.89,17.8,46.15,39.62,31.82
1522,2.79,3.03,2.82,17.62,46.33,40.16,33.09
1524,2.77,2.9,2.9,17.8,46.15,39.8,32.37
1526,2.77,2.97,2.9,17.8,46.15,41.25,32.73
1528,2.77,2.93,2.65,17.62,46.33,40.53,31.82
1530,2.81,2.98,2.59,18.17,45.97,39.8,32.37
1532,2.74,2.93,2.86,17.8,46.15,37.81,32.37
1534,2.77,2.97,2.88,17.62,46.33,38.89,32.55
1536,2.77,2.94,2.7,18.17,45.97,39.26,33.09
1538,2.77,2.95,2.83,17.99,46.15,39.08,32
1540,2.77,2.79,2.9,18.73,45.79,40.89,33.45
1542,2.77,2.96,2.88,18.36,45.97,39.26,32
1544,2.79,2.83,2.87,17.8,45.97,39.8,33.27
1546,2.74,3.02,2.81,18.55,45.79,38.89,33.09
1548,2.79,3.01,2.82,18.36,45.97,38.89,32.55
1550,2.78,2.97,2.97,18.36,45.97,39.98,33.45
1552,2.8,3,2.72,18.36,45.97,39.26,32.55
1554,2.84,2.95,2.94,17.8,46.15,39.26,33.09
1556,2.85,3.03,2.86,18.36,45.97,40.71,32.91
1558,2.79,2.96,2.82,18.55,45.97,40.16,33.27
1560,2.8,2.97,2.86,17.62,46.33,39.08,33.45
1562,2.78,3,2.88,18.36,45.97,40.89,32.55
1564,2.79,2.83,2.84,17.8,46.33,39.26,33.09
1566,2.76,2.71,2.63,17.8,46.33,37.81,32.37
1568,2.78,2.94,2.85,18.36,46.15,39.62,33.45
1570,2.75,2.92,2.87,17.8,46.51,38.89,33.09
1572,2.73,2.97,2.79,17.62,46.51,39.26,32.37
1574,2.71,2.93,2.74,17.99,46.33,39.44,32.73
1576,2.74,2.86,2.76,17.8,46.33,39.8,32.55
1578,2.75,2.92,2.78,17.43,46.51,39.8,32.73
1580,2.75,2.89,2.74,17.99,46.15,40.16,33.45
1582,2.77,2.96,2.93,17.8,46.33,38.89,31.82
1584,2.76,2.97,2.84,18.55,45.97,39.44,33.09
1586,2.8,2.99,2.8,18.36,46.15,38.71,32.91
1588,2.74,2.98,2.7,18.17,46.33,38.71,32.37
1590,2.76,2.96,2.78,18.55,45.97,39.26,33.64
1592,2.74,2.88,2.84,18.55,45.97,39.26,32.73
1594,2.8,3.01,2.9,18.17,46.15,40.71,32.55
1596,2.77,2.96,2.84,18.55,45.97,38.71,33.64
1598,2.81,2.99,2.66,18.36,45.97,39.8,32.73
1600,2.81,2.89,2.76,18.17,46.33,38.89,32.91
1602,2.76,3.01,2.83,18.55,46.33,39.8,33.45
1604,2.81,2.99,2.94,17.62,46.69,40.89,32.37
1606,2.8,2.99,2.66,17.8,46.51,40.71,32.91
1608,2.84,2.97,2.83,17.8,46.69,38.89,32.91
1610,2.8,3,2.95,17.62,46.69,40.53,32.18
1612,2.82,2.99,2.86,17.8,46.69,39.8,32.91
1614,2.77,3.01,2.85,17.99,46.69,40.16,32.73
1616,2.79,3,2.92,17.8,46.69,39.26,32.18
1618,2.78,2.94,2.7,18.36,46.33,39.8,32.18
1620,2.75,3.02,2.84,18.17,46.51,40.35,33.27
1622,2.77,2.99,2.91,17.8,46.69,39.08,32.73
1624,2.79,2.97,2.84,18.36,46.69,39.08,32.37
1626,2.76,2.99,2.9,18.17,46.51,39.26,33.09
1628,2.77,2.99,2.84,18.55,46.33,38.17,33.82
1630,2.8,2.99,2.77,18.55,46.33,40.16,32.73
1632,2.79,2.98,2.71,18.17,46.51,40.16,32.91
1634,2.75,2.93,2.86,18.36,46.33,40.71,33.64
1636,2.76,2.87,2.67,18.55,46.33,40.71,33.64
1638,2.79,2.99,2.8,18.17,46.69,39.8,32.55
1640,2.81,3.04,2.9,18.17,46.51,40.53,33.27
1642,2.79,3.02,2.82,18.55,46.33,41.61,33.82
1644,2.82,3.02,2.87,18.17,46.69,40.53,33.45
1646,2.86,3.02,2.82,18.36,46.51,39.8,32.91
1648,2.81,3.03,2.93,17.62,46.87,40.35,32.73
1650,2.79,3.03,2.87,18.17,46.69,39.44,33.64
1652,2.78,2.97,2.86,18.36,46.69,39.8,33.09
1654,2.79,2.98,2.76,17.62,46.87,39.44,32.37
1656,2.74,2.94,2.72,17.99,46.87,40.35,33.27
1658,2.77,2.98,2.83,17.8,46.87,39.98,33.27
1660,2.77,3,2.95,17.62,47.06,39.44,33.09
1662,2.79,2.95,3,17.8,46.87,39.08,32.91
1664,2.75,2.91,2.81,17.8,46.87,40.89,32
1666,2.77,3.01,2.82,17.62,46.87,40.71,33.09
1668,2.77,2.91,2.88,18.55,46.69,39.44,33.82
1670,2.76,2.97,2.74,17.8,46.87,39.62,32.91
1672,2.74,3.01,2.71,18.36,46.69,40.16,33.45
1674,2.8,3,2.91,18.55,46.69,40.35,32.73
1676,2.78,2.99,2.87,17.99,46.87,40.35,33.27
1678,2.79,2.98,2.89,18.36,46.69,40.53,33.64
1680,2.77,3.01,2.92,18.55,46.69,38.71,33.64
1682,2.79,2.95,2.74,17.99,46.87,41.07,33.64
1684,2.79,2.99,2.95,18.17,46.69,40.89,33.45
1686,2.79,3.04,2.91,18.36,46.69,40.35,33.27
1688,2.78,2.94,2.95,17.99,46.87,40.35,32.91
1690,2.76,2.99,2.7,18.17,46.87,40.71,33.27
1692,2.79,2.93,2.8,17.62,47.06,40.16,32.73
1694,2.75,2.82,2.71,17.8,47.06,39.8,33.27
1696,2.77,2.96,2.8,17.99,46.87,40.53,33.64
1698,2.78,2.95,2.76,17.8,47.24,40.53,33.27
1700,2.77,2.96,2.85,17.62,47.24,39.98,32.91
1702,2.73,2.94,2.88,17.99,47.06,39.62,33.09
1704,2.75,2.93,2.92,17.8,47.06,40.16,32.18
1706,2.75,2.9,2.72,17.62,47.24,40.35,32.37
1708,2.77,2.95,2.78,17.99,46.87,41.61,32.18
1710,2.79,2.98,2.68,17.99,47.24,39.98,32.73
1712,2.78,3,2.78,18.36,46.87,40.35,33.09
1714,2.77,2.92,2.85,17.99,47.06,39.8,32.91
1716,2.77,2.92,2.84,17.62,47.24,39.62,33.27
1718,2.8,2.99,3,18.55,46.87,39.98,33.27
1720,2.8,2.96,2.75,17.8,47.06,38.53,33.45
1722,2.79,3.01,2.93,18.55,46.87,40.53,34
1724,2.8,2.92,2.82,18.36,46.87,41.07,34
1726,2.77,2.99,2.78,17.99,46.87,40.71,34
1728,2.74,2.95,2.84,18.36,46.87,39.44,34.18
1730,2.78,2.88,2.84,18.55,46.87,40.53,33.64
1732,2.78,2.92,2.85,18.17,47.06,40.35,34
1734,2.77,2.99,2.79,18.36,46.87,40.71,34
1736,2.75,2.99,2.81,17.62,47.42,40.16,33.64
1738,2.81,3.03,2.81,18.17,47.06,40.71,33.82
1740,2.84,3.05,2.89,18.17,47.06,41.07,34
1742,2.79,3.02,2.73,17.8,47.42,39.98,33.64
1744,2.81,3.01,2.78,17.99,47.24,40.71,33.82
1746,2.79,2.98,2.9,17.8,47.42,39.08,33.45
1748,2.78,2.99,2.93,17.62,47.42,41.43,33.82
1750,2.82,3.04,3,17.99,47.24,40.16,33.82
1752,2.8,3.05,2.94,17.8,47.42,41.25,33.64
1754,2.83,2.99,2.82,17.43,47.6,41.07,33.45
1756,2.78,2.99,2.95,17.99,47.24,39.8,33.09
1758,2.8,3.04,2.84,17.43,47.42,40.89,33.45
1760,2.81,3.04,2.83,17.62,47.42,39.98,33.64
1762,2.8,3,2.87,17.99,47.42,40.89,33.27
1764,2.8,3.03,2.86,17.62,47.42,41.25,33.45
1766,2.88,3.02,3.01,18.36,47.06,41.25,33.27
1768,2.79,2.98,2.88,17.8,47.42,39.08,33.27
1770,2.82,2.98,2.75,17.62,47.42,39.44,33.09
1772,2.81,2.87,2.73,18.36,47.06,39.8,32.91
1774,2.76,2.96,2.73,17.8,47.42,40.35,32.73
1776,2.75,2.9,2.82,18.36,46.87,41.07,32.91
1778,2.76,2.9,2.66,18.36,47.24,39.08,32.91
1780,2.73,2.9,2.73,17.8,47.42,40.53,33.27
1782,2.77,2.94,2.87,18.55,47.06,40.53,32.91
1784,2.8,2.99,2.7,18.17,47.24,39.62,32.73
1786,2.83,3.02,2.89,18.36,47.06,39.26,33.45
1788,2.86,3.03,2.84,18.55,47.06,41.07,33.27
1790,2.81,3.05,2.85,18.17,47.42,40.71,33.64
1792,2.79,3.11,2.77,18.17,47.06,39.8,33.82
1794,2.82,2.97,2.92,18.36,47.06,40.35,34
1796,2.82,3.02,2.83,18.17,47.24,40.71,33.82
1798,2.81,3,2.82,18.17,47.24,41.07,34.36
1800,2.8,2.9,2.92,17.62,47.6,41.25,33.82
1802,2.81,3.05,2.61,17.99,47.42,40.53,33.82
1804,2.83,2.95,2.7,18.36,47.24,39.08,34.36
1806,2.82,2.9,3.06,17.43,47.24,39.8,33.45
1808,2.85,3.03,2.72,17.99,47.42,40.16,33.64
1810,2.84,2.97,2.88,17.99,47.6,40.71,32.91
1812,2.82,3.05,2.79,17.62,47.6,40.89,32.91
1814,2.83,3.04,2.79,17.8,47.6,40.53,33.27
1816,2.78,3.04,2.94,17.62,47.6,40.89,32.55
1818,2.81,3,2.91,17.62,47.78,39.26,32.91
1820,2.84,3.05,3.05,17.99,47.42,40.89,33.64
1822,2.81,2.91,2.93,17.8,47.6,40.53,33.27
1824,2.84,2.96,2.89,17.62,47.6,40.71,33.45
1826,2.79,2.87,2.93,17.99,47.6,39.62,34
1828,2.79,3.03,2.72,17.8,47.6,38.71,33.64
1830,2.85,3.06,2.87,18.55,47.24,40.53,33.27
1832,2.87,3.08,2.84,18.17,47.42,41.25,33.09
1834,2.79,2.94,2.93,17.8,47.6,40.89,33.45
1836,2.84,2.98,2.67,18.55,47.24,40.89,32.91
1838,2.77,3.02,2.93,18.17,47.42,40.35,32.73
1840,2.76,3.02,2.77,18.36,47.24,41.61,34
1842,2.82,2.99,2.87,18.36,47.24,39.26,33.82
1844,2.78,3.04,3.14,17.99,47.42,39.98,33.82
1846,2.74,2.97,2.7,18.36,47.24,40.35,33.82
1848,2.81,2.9,2.81,18.55,47.24,40.71,33.45
1850,2.77,2.95,2.71,18.17,47.42,41.61,33.09
1852,2.77,2.98,2.85,18.55,47.24,39.62,33.09
1854,2.79,2.92,2.8,17.99,47.6,40.53,34
1856,2.8,3.01,2.76,18.36,47.42,40.53,34.36
1858,2.79,2.91,2.93,18.36,47.24,40.53,34.18
1860,2.8,2.95,2.62,17.8,47.6,40.35,33.64
1862,2.84,2.98,2.85,18.17,47.42,41.61,33.64
1864,2.81,2.97,2.9,17.62,47.78,41.07,32.91
1866,2.84,3.02,2.9,17.8,47.6,41.61,33.64
1868,2.83,3.03,2.89,18.17,47.42,40.16,34
1870,2.82,2.95,2.84,17.43,47.78,40.71,33.45
1872,2.84,3.04,2.87,17.8,47.6,41.25,33.82
1874,2.81,2.91,2.99,17.8,47.78,40.71,32.73
1876,2.82,3.05,2.95,17.62,47.78,39.44,32.55
1878,2.77,2.94,2.9,17.99,47.6,41.07,33.09
