Time (Sec.),Cold (Volts),Hot (Volts),Total (Volts),T1 (Deg C),T2 (Deg C),T4 (Deg C),T5 (Deg C)
256,2.77,2.99,2.76,18.17,46.69,40.53,32.91
258,2.78,2.91,2.9,18.36,46.69,40.71,32.73
260,2.78,2.96,2.89,18.55,46.69,41.43,32.91
262,2.79,2.96,2.42,18.36,46.69,38.71,34.18
264,2.77,2.96,2.88,18.36,46.69,39.26,33.45
266,2.78,2.86,2.85,17.99,46.87,39.44,32.55
268,2.81,2.98,2.76,18.17,46.87,40.53,33.09
270,2.78,3.02,2.86,18.36,46.69,40.71,33.45
272,2.79,3.01,2.99,17.62,47.06,40.71,33.27
274,2.78,2.97,2.91,17.99,46.87,40.35,33.27
276,2.76,2.94,2.71,17.8,47.06,40.71,32.18
278,2.69,2.88,2.81,17.62,47.06,39.08,33.09
280,2.71,2.91,2.73,18.17,46.87,40.35,33.45
282,2.75,2.89,2.73,17.99,46.87,40.71,33.09
284,2.73,2.95,3.05,17.62,47.06,41.07,32.73
286,2.78,2.96,2.61,18.36,46.69,40.71,32.55
288,2.73,2.96,2.76,17.99,46.87,39.26,33.09
290,2.76,2.96,2.74,18.55,46.69,40.89,33.64
292,2.75,2.99,2.84,18.36,46.69,38.71,33.27
294,2.78,2.95,2.75,18.17,46.87,37.99,32.91
296,2.76,3,2.79,18.36,46.69,41.07,33.45
298,2.8,3.06,2.86,18.55,46.69,39.26,33.45
300,2.82,3.06,2.35,18.36,46.87,37.99,33.45
302,2.82,3.02,2.83,18.36,46.69,41.25,33.45
304,2.83,3.03,2.91,18.36,46.51,40.53,32.91
306,2.84,3.07,2.84,17.99,46.87,40.89,33.27
308,2.83,2.95,2.83,18.36,46.69,40.89,33.82
310,2.82,3.06,2.79,17.62,47.06,39.62,32.91
312,2.78,3.01,2.82,18.17,46.87,39.8,33.09
314,2.79,2.76,2.82,18.17,46.69,40.35,32.91
316,2.79,2.95,2.89,17.8,47.06,39.62,33.45
318,2.76,3,2.92,17.8,46.87,38.35,33.45
320,2.79,3.04,2.8,17.99,46.87,39.44,32.18
322,2.84,3.02,2.71,17.62,47.06,39.98,32.37
324,2.82,2.99,2.82,17.8,47.06,39.44,32.37
326,2.78,3.02,2.89,17.8,46.87,39.08,33.27
328,2.77,2.98,2.67,17.8,47.06,39.8,33.27
330,2.77,2.8,2.78,18.36,46.69,38.35,32.91
332,2.74,2.97,2.91,17.99,46.87,38.53,32
334,2.74,2.96,2.74,17.8,46.69,40.71,33.27
336,2.75,2.92,2.81,18.36,46.69,39.62,33.64
338,2.71,2.83,2.68,17.99,46.87,40.16,33.45
340,2.74,2.9,2.59,18.55,46.69,39.98,33.27
342,2.72,2.94,2.82,18.36,46.69,39.98,32.91
344,2.73,2.92,2.56,18.36,46.69,40.71,33.27
346,2.74,2.94,2.76,18.55,46.69,40.53,33.64
348,2.73,2.8,2.81,18.36,46.69,41.25,33.45
350,2.72,2.91,2.73,18.36,46.69,39.62,34
352,2.71,2.86,2.66,18.55,46.69,39.98,34
354,2.75,2.95,2.9,17.99,46.87,40.16,32.91
356,2.77,2.86,2.71,18.17,46.69,40.16,33.09
358,2.75,2.97,2.89,18.55,46.69,40.16,32.91
360,2.76,2.98,2.67,17.99,46.87,41.25,33.09
362,2.78,2.95,2.81,18.17,46.69,40.71,33.64
364,2.77,2.93,2.69,17.8,47.06,39.62,33.45
366,2.74,2.91,2.77,17.99,47.06,40.53,34
368,2.76,2.78,2.74,18.17,46.69,40.53,33.82
370,2.77,2.97,2.88,17.62,47.06,40.35,32.73
372,2.76,3.03,2.94,17.8,47.06,40.53,32.91
374,2.74,2.95,2.82,17.8,46.87,41.25,32.37
376,2.75,2.97,2.89,17.62,47.06,40.35,32.37
378,2.79,2.87,2.82,17.8,47.06,40.35,32.55
380,2.77,3,3.01,17.99,46.87,40.89,32.91
382,2.79,3.03,2.93,17.8,47.06,40.89,32.73
384,2.79,2.97,2.94,18.36,46.69,40.16,33.82
386,2.78,2.82,2.93,17.99,46.87,39.8,33.45
388,2.78,3.07,2.73,17.8,47.06,41.25,33.45
390,2.81,3.03,2.86,18.55,46.69,39.98,33.45
392,2.79,3.02,2.83,18.17,46.87,39.08,33.45
394,2.85,3.05,2.73,18.55,46.69,40.16,33.09
396,2.82,3.02,2.91,18.36,46.69,38.71,33.27
398,2.83,3.07,2.99,18.36,46.69,39.26,32.91
400,2.83,3.01,2.74,18.73,46.51,40.71,33.09
402,2.8,3,2.86,18.55,46.69,39.26,33.09
404,2.81,3.02,2.92,18.36,46.69,39.26,33.09
406,2.8,3,2.92,18.55,46.51,40.53,32.91
408,2.84,3.04,2.84,18.36,46.87,39.62,32.91
410,2.83,2.84,2.91,18.36,46.69,41.61,33.09
412,2.79,3.02,2.83,18.73,46.69,39.8,32.91
414,2.79,2.99,2.82,17.99,46.87,40.53,33.27
416,2.8,2.99,2.87,18.36,46.69,40.89,33.27
418,2.77,2.95,2.98,17.8,47.06,39.44,33.09
420,2.78,2.98,2.77,17.99,46.87,40.89,33.09
422,2.85,2.9,2.91,18.36,46.69,40.35,32.73
424,2.83,3.02,2.85,17.62,47.06,41.43,32.91
426,2.84,3.07,2.88,17.8,47.06,40.35,32.91
428,2.83,3.05,2.98,17.8,46.87,39.8,32.91
430,2.88,2.99,2.71,17.62,47.06,41.25,32.37
432,2.82,3.1,2.85,17.8,46.87,39.8,32.73
434,2.84,3.09,2.98,17.99,46.87,40.35,32.18
436,2.86,2.84,2.56,17.62,47.06,40.35,32.73
438,2.83,3.07,2.95,18.17,46.69,39.62,32.55
440,2.82,3.04,2.98,17.8,46.87,38.71,32.91
442,2.85,3.03,2.83,17.8,47.06,40.53,33.09
444,2.84,2.95,2.84,18.36,46.69,39.44,33.27
446,2.81,3.06,2.95,17.99,46.87,39.8,33.09
448,2.83,3.05,2.95,18.73,46.51,39.62,33.09
450,2.8,3.06,2.93,18.36,46.87,39.98,33.45
452,2.8,3,2.96,18.17,46.87,39.62,33.45
454,2.81,3.05,2.95,18.73,46.69,39.8,33.45
456,2.83,2.9,2.91,17.99,46.87,39.44,33.45
458,2.78,2.99,2.78,18.55,46.69,39.8,34
460,2.77,2.98,2.83,18.73,46.69,40.89,33.82
462,2.77,2.98,2.77,18.36,46.69,39.98,34
464,2.78,2.97,2.82,18.73,46.51,39.98,34
466,2.79,2.83,2.72,18.55,46.69,39.08,33.45
468,2.81,2.87,2.87,18.36,46.69,40.71,34
470,2.79,2.92,2.78,18.73,46.51,39.98,33.27
472,2.84,3.04,2.81,18.17,46.87,40.16,33.82
474,2.85,3.08,2.97,18.55,46.69,40.53,33.27
476,2.84,3.05,2.89,18.55,46.51,40.71,32.73
478,2.82,3.01,2.87,18.36,46.69,41.25,33.09
480,2.8,2.96,2.82,18.55,46.51,40.16,33.09
482,2.8,2.94,2.85,17.99,46.87,39.62,32.73
484,2.77,2.97,2.89,18.36,46.69,40.89,33.09
486,2.76,2.93,2.86,18.55,46.51,39.8,33.09
488,2.78,2.97,2.87,18.17,46.87,40.35,32.91
490,2.76,3,2.95,18.55,46.69,40.16,33.27
492,2.81,2.99,2.75,17.8,46.87,40.71,32.73
494,2.78,3.01,2.81,18.17,46.69,40.16,33.27
496,2.83,3,2.79,18.36,46.69,40.35,33.64
498,2.8,2.92,2.82,17.99,46.87,39.44,33.09
500,2.78,2.96,2.22,18.36,46.69,40.71,33.82
502,2.74,2.87,2.91,17.8,46.87,39.8,32.91
504,2.78,2.98,2.84,17.8,46.87,40.89,33.64
506,2.79,3.05,2.82,18.17,46.69,39.8,32.91
508,2.84,3.01,2.9,17.8,46.87,40.71,33.09
510,2.81,2.97,2.88,17.99,46.87,39.62,33.45
512,2.78,2.96,2.86,17.8,46.87,40.53,33.09
514,2.78,3.04,2.92,17.62,46.87,40.71,33.09
516,2.82,2.98,2.92,17.99,46.69,40.71,33.27
518,2.81,3.01,2.71,18.17,46.87,39.26,32.91
520,2.79,3.01,2.87,17.8,46.87,41.07,32.73
522,2.8,2.9,2.77,17.99,46.69,40.35,32.91
524,2.8,2.98,2.84,17.99,46.87,39.8,32.18
526,2.82,2.93,2.77,18.55,46.51,39.26,33.27
528,2.75,2.97,2.69,18.17,46.69,39.62,32.73
530,2.74,3.02,2.78,17.8,46.87,40.71,32
532,2.82,3.07,2.67,18.55,46.51,40.35,32.73
534,2.81,2.94,2.92,18.36,46.69,39.08,32.73
536,2.82,3.06,2.76,18.36,46.69,39.44,33.09
538,2.8,3.03,2.96,18.55,46.51,39.62,32.91
540,2.84,2.93,2.94,18.36,46.69,39.8,33.09
542,2.81,2.99,2.79,18.36,46.51,40.53,33.09
544,2.81,3.01,2.5,18.55,46.51,39.62,33.45
546,2.83,2.99,2.89,18.17,46.69,39.08,33.27
548,2.82,2.97,2.86,18.55,46.51,40.35,34
550,2.81,2.96,2.88,18.55,46.51,39.26,33.82
552,2.81,2.87,2.86,18.36,46.69,40.89,33.82
554,2.8,2.99,2.91,18.55,46.51,41.25,33.82
556,2.82,3.01,2.83,17.8,46.87,40.16,33.27
558,2.83,2.99,2.77,18.36,46.69,40.16,33.45
560,2.81,2.89,2.87,18.55,46.69,39.44,33.09
562,2.79,3.04,2.99,17.62,46.87,39.8,32.91
564,2.83,3.01,2.93,18.17,46.69,40.16,32.55
566,2.77,2.99,2.84,17.8,46.87,39.8,32.18
568,2.79,2.95,2.92,17.8,46.87,40.89,32.55
570,2.79,2.9,2.87,17.99,46.87,39.44,32.91
572,2.8,2.92,2.79,17.99,46.87,39.44,32.73
574,2.82,3.02,2.7,17.8,46.87,38.71,33.27
576,2.81,3,2.79,18.55,46.69,39.8,33.27
578,2.79,2.98,2.81,17.99,46.87,39.44,32.91
580,2.8,3.02,2.86,18.73,46.51,40.16,34
582,2.83,3.01,2.79,18.36,46.69,39.08,32.91
584,2.82,2.91,2.71,17.99,46.69,39.08,32
586,2.81,2.9,2.85,18.55,46.51,39.8,33.09
588,2.83,3.05,2.8,18.55,46.51,40.71,32.73
590,2.78,3.02,2.76,18.55,46.51,40.35,32.91
592,2.75,3.01,2.86,18.73,46.51,40.53,33.09
594,2.77,2.83,2.86,18.17,46.69,38.17,33.45
596,2.77,2.96,2.87,18.55,46.51,39.8,33.82
598,2.77,2.99,2.85,18.55,46.51,40.53,33.45
600,2.79,2.85,2.86,18.36,46.69,39.8,33.64
602,2.74,2.96,2.79,18.36,46.51,39.26,33.27
604,2.74,2.94,2.91,18.55,46.51,40.35,32.18
606,2.78,2.96,2.71,18.17,46.69,40.71,32.91
608,2.76,2.95,2.76,18.36,46.51,40.16,32.91
610,2.76,2.94,2.82,17.8,46.87,40.35,32.73
612,2.76,2.92,2.91,18.17,46.69,39.8,33.64
614,2.76,2.97,2.86,18.36,46.69,41.07,34
616,2.78,2.98,2.8,17.62,46.87,38.89,33.09
618,2.78,3.02,2.93,17.99,46.87,40.89,32.91
620,2.77,2.94,2.86,17.99,46.87,39.44,32.73
622,2.78,2.93,2.78,17.62,46.87,39.8,32.18
624,2.77,2.98,2.79,17.99,46.87,40.89,32.37
626,2.78,3.01,2.87,17.8,46.87,39.98,32.55
628,2.8,2.95,2.73,17.8,46.87,39.8,33.09
630,2.81,2.98,2.87,18.17,46.69,40.53,33.45
632,2.78,3.01,2.82,17.99,46.87,39.98,32.55
634,2.74,2.93,2.84,17.62,46.87,39.26,33.27
636,2.79,3.01,2.94,18.36,46.69,39.44,32.37
638,2.79,2.98,2.78,17.8,46.87,39.8,32.73
640,2.78,3,2.72,18.55,46.51,40.35,33.27
642,2.82,3,2.84,18.17,46.69,38.89,33.27
644,2.81,3.01,2.96,18.55,46.51,40.71,33.64
646,2.8,2.95,2.79,18.55,46.51,39.8,32.55
648,2.77,2.96,3,18.17,46.69,39.62,33.27
650,2.79,2.96,2.81,18.55,46.51,39.98,33.45
652,2.76,2.96,2.74,18.73,46.51,39.44,33.82
654,2.78,2.97,2.85,18.17,46.69,40.35,34
656,2.77,2.97,2.72,18.55,46.51,40.53,33.09
658,2.77,3,2.74,18.73,46.51,39.44,32.55
660,2.8,3.04,2.92,18.17,46.69,40.53,32.91
662,2.82,2.97,2.92,18.36,46.51,40.35,33.82
664,2.83,2.79,3.01,17.8,46.87,39.62,33.45
666,2.84,2.97,2.91,18.36,46.69,41.25,33.64
668,2.84,3.07,2.83,18.17,46.51,39.62,32.91
670,2.83,3.03,2.76,17.8,46.87,39.8,32.55
672,2.8,3.03,2.95,17.99,46.87,40.16,33.09
674,2.84,3.02,2.78,17.8,46.87,40.16,32.91
676,2.79,2.97,2.92,17.62,46.87,41.07,33.09
678,2.82,2.97,3.05,17.99,46.87,39.98,32.73
680,2.8,3,2.89,17.8,46.87,40.35,32.18
682,2.81,3.04,2.98,17.62,46.87,40.71,32.55
684,2.81,3.03,2.68,18.36,46.69,39.44,33.09
686,2.79,3,2.82,17.8,46.87,39.44,33.27
688,2.81,2.96,2.74,17.8,46.87,40.16,32.73
690,2.79,2.87,2.76,18.55,46.69,39.98,33.09
692,2.81,3,2.97,17.99,46.87,39.8,32.55
694,2.79,3.03,2.81,18.73,46.51,39.62,33.27
696,2.79,2.97,2.82,18.17,46.69,38.35,33.45
698,2.79,3.04,3.03,17.99,46.51,40.53,33.82
700,2.84,3.06,2.68,18.55,46.51,40.53,33.09
702,2.84,3.07,3.05,18.36,46.69,40.53,32.91
704,2.83,3.03,2.85,18.36,46.51,39.98,33.27
706,2.82,3.02,2.89,18.73,46.33,39.98,33.82
708,2.88,3.08,2.68,18.36,46.69,41.07,33.82
710,2.83,3.09,2.89,18.36,46.51,41.07,33.64
712,2.87,2.98,2.92,18.55,46.51,40.53,32.91
714,2.83,3.02,2.86,18.17,46.69,40.71,33.45
716,2.8,3.02,2.79,18.36,46.51,39.44,33.82
718,2.84,3.01,2.75,17.8,46.87,38.53,33.45
720,2.82,3.06,2.83,18.36,46.69,40.35,33.09
722,2.84,3.04,3.01,18.36,46.51,40.53,33.82
724,2.83,3.03,2.61,17.99,46.87,40.53,33.82
726,2.87,3,2.91,18.36,46.69,39.8,33.09
728,2.8,3.06,2.9,17.62,46.87,40.89,32.55
730,2.81,3.04,2.92,18.17,46.69,40.53,33.64
732,2.83,2.98,2.91,18.36,46.51,39.08,33.09
734,2.79,3.01,2.88,17.99,46.87,39.26,32.91
736,2.79,2.95,2.77,18.17,46.69,40.71,33.82
738,2.79,2.9,2.84,17.62,46.87,40.35,33.27
